         8954 function calls (8718 primitive calls) in 3.403 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
     20/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
     16/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)S
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
     37/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      169    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       37    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     20/5    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap>:664(_load_unlocked)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:778(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:795(is_package)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
       20    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     20/5    0.000    0.000    0.020    0.004 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       18    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1174(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:119(<listcomp>)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1347(_path_importer_cache)
       19    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
       67    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       19    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1422(find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
       30    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     18/5    0.000    0.000    0.018    0.004 <frozen importlib._bootstrap_external>:877(exec_module)
       18    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:950(get_code)
      147    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
